Category,EfficientAD_Image_AUROC,EfficientAD_Pixel_AUROC,EfficientAD_Pixel_AP,EfficientAD_AUPRO,PUAD_Image_AUROC
bottle,100.0,97.1624808298723,55.720265497949704,88.98994278006323,99.92063492063492
cable,97.24512743628186,98.23094665660797,66.03923053590431,90.74294758150938,97.76986506746627
capsule,98.4443558037495,98.60498975332114,33.17429644481083,91.91379552583088,98.04547267650578
pill,98.17239498090562,97.75239242898597,48.86794009898884,89.80990190228424,98.0087288597927
grid,100.0,98.19495168419807,24.61395234420071,93.58896740679148,100.0
